id,name,RA,DEC,const,mag,cname
221,TaniaAustralis,10.37215,41.499519,UMa,3.06,HR4069
222,AlulaBorealis,11.30798246666667,33.094305,UMa,3.49,HR4377
223,AlulaAustralis,11.3030282,31.529161,UMa,4.41,HR4375
224,Muscida,8.504408533333333,60.71817,UMa,3.35,HR3323
225,Chalawan,10.99110353333333,40.430256,UMa,5.03,HR4277
226,Alcor,13.42042686666667,54.987954,UMa,3.99,HR5062
227,Intercrus,9.477774533333333,45.601482,UMa,5.41,HR3743
228,Polaris,2.530304066666667,89.264109,UMi,1.97,HR424
229,Kochab,14.84509046666667,74.15550399999999,UMi,2.07,HR5563
230,Pherkad,15.34547666666667,71.834017,UMi,3,HR5735
231,Yildun,17.53694173333334,86.586462,UMi,4.35,HR6789
232,Suhail,9.133266200000001,-43.432589,Vel,2.23,HR3634
233,Spica,13.41988313333333,-11.161319,Vir,0.98,HR5056
234,Zavijava,11.84492173333333,1.764717,Vir,3.59,HR4540
235,Porrima,12.6943454,-1.449373,Vir,2.74,HR4825
236,Vindemiatrix,13.03627713333333,10.959149,Vir,2.85,HR4932
237,Zaniah,12.33176506666667,-0.666793,Vir,3.89,HR4689
238,Syrma,14.2669082,-6.000545,Vir,4.07,HR5338
239,Lich,13.00084673333333,12.682417,Vir,-,PSRB1257+12
